group,subj_idx,induction,prime_valence,target_valence,nondectime,condition
depression,56189087,emotion,negative,negative,0.3237537343480881,emotion_negative_negative
depression,56189087,emotion,negative,positive,0.2505195123548339,emotion_negative_positive
depression,56189087,emotion,positive,negative,0.3529514677076274,emotion_positive_negative
depression,56189087,emotion,positive,positive,0.2007824938476721,emotion_positive_positive
depression,56189087,shape,negative,negative,0.3302747408398497,shape_negative_negative
depression,56189087,shape,negative,positive,0.2000701192887049,shape_negative_positive
depression,56189087,shape,positive,negative,0.202747474881977,shape_positive_negative
depression,56189087,shape,positive,positive,0.2616472852643446,shape_positive_positive
depression,56277415,emotion,negative,negative,0.3101024260304532,emotion_negative_negative
depression,56277415,emotion,negative,positive,0.3046287887424084,emotion_negative_positive
depression,56277415,emotion,positive,negative,0.2707877017367049,emotion_positive_negative
depression,56277415,emotion,positive,positive,0.2822927253912055,emotion_positive_positive
depression,56277415,shape,negative,negative,0.3060690028905539,shape_negative_negative
depression,56277415,shape,negative,positive,0.2970524761510108,shape_negative_positive
depression,56277415,shape,positive,negative,0.3085147235062554,shape_positive_negative
depression,56277415,shape,positive,positive,0.3433907986480823,shape_positive_positive
depression,56279808,emotion,negative,negative,0.3050987027667149,emotion_negative_negative
depression,56279808,emotion,negative,positive,0.2546532282504823,emotion_negative_positive
depression,56279808,emotion,positive,negative,0.2351392943729167,emotion_positive_negative
depression,56279808,emotion,positive,positive,0.2003670967065206,emotion_positive_positive
depression,56279808,shape,negative,negative,0.2806098129134866,shape_negative_negative
depression,56279808,shape,negative,positive,0.261497382665195,shape_negative_positive
depression,56279808,shape,positive,negative,0.2168031134832272,shape_positive_negative
depression,56279808,shape,positive,positive,0.2004485704762258,shape_positive_positive
depression,56343776,emotion,negative,negative,0.2005574454839102,emotion_negative_negative
depression,56343776,emotion,negative,positive,0.2077034707224416,emotion_negative_positive
depression,56343776,emotion,positive,negative,0.3301781627817223,emotion_positive_negative
depression,56343776,emotion,positive,positive,0.2026266041809321,emotion_positive_positive
depression,56343776,shape,negative,negative,0.2009177737519842,shape_negative_negative
depression,56343776,shape,negative,positive,0.2008988729530851,shape_negative_positive
depression,56343776,shape,positive,negative,0.2164244022978637,shape_positive_negative
depression,56343776,shape,positive,positive,0.2021178288781503,shape_positive_positive
depression,56346638,emotion,negative,negative,0.2004022839327806,emotion_negative_negative
depression,56346638,emotion,negative,positive,0.3341907271257925,emotion_negative_positive
depression,56346638,emotion,positive,negative,0.3993765894210976,emotion_positive_negative
depression,56346638,emotion,positive,positive,0.3591218645716449,emotion_positive_positive
depression,56346638,shape,negative,negative,0.3321478593497201,shape_negative_negative
depression,56346638,shape,negative,positive,0.4021191246610857,shape_negative_positive
depression,56346638,shape,positive,negative,0.3671347471359009,shape_positive_negative
depression,56346638,shape,positive,positive,0.3199076571464719,shape_positive_positive
depression,56352066,emotion,negative,negative,0.3532134659693053,emotion_negative_negative
depression,56352066,emotion,negative,positive,0.2565203069470569,emotion_negative_positive
depression,56352066,emotion,positive,negative,0.3013004587535814,emotion_positive_negative
depression,56352066,emotion,positive,positive,0.4285801876910298,emotion_positive_positive
depression,56352066,shape,negative,negative,0.4445712921150922,shape_negative_negative
depression,56352066,shape,negative,positive,0.3581966271673991,shape_negative_positive
depression,56352066,shape,positive,negative,0.2876352775642288,shape_positive_negative
depression,56352066,shape,positive,positive,0.2449353186603597,shape_positive_positive
depression,56354957,emotion,negative,negative,0.312786609461261,emotion_negative_negative
depression,56354957,emotion,negative,positive,0.2006597193547146,emotion_negative_positive
depression,56354957,emotion,positive,negative,0.3506624415870024,emotion_positive_negative
depression,56354957,emotion,positive,positive,0.2634271227940642,emotion_positive_positive
depression,56354957,shape,negative,negative,0.3639069546729175,shape_negative_negative
depression,56354957,shape,negative,positive,0.2022176587090879,shape_negative_positive
depression,56354957,shape,positive,negative,0.3407261922420193,shape_positive_negative
depression,56354957,shape,positive,positive,0.200197613632161,shape_positive_positive
depression,56358294,emotion,negative,negative,0.4098323704583884,emotion_negative_negative
depression,56358294,emotion,negative,positive,0.2426075804383798,emotion_negative_positive
depression,56358294,emotion,positive,negative,0.3636116512092433,emotion_positive_negative
depression,56358294,emotion,positive,positive,0.2005102453267272,emotion_positive_positive
depression,56358294,shape,negative,negative,0.2638338878173295,shape_negative_negative
depression,56358294,shape,negative,positive,0.2969165942088294,shape_negative_positive
depression,56358294,shape,positive,negative,0.3510887184507031,shape_positive_negative
depression,56358294,shape,positive,positive,0.2856110247288114,shape_positive_positive
depression,56362338,emotion,negative,negative,0.2002294096577173,emotion_negative_negative
depression,56362338,emotion,negative,positive,0.3701666461044544,emotion_negative_positive
depression,56362338,emotion,positive,negative,0.4118272884555454,emotion_positive_negative
depression,56362338,emotion,positive,positive,0.3014262834654882,emotion_positive_positive
depression,56362338,shape,negative,negative,0.3281509606122011,shape_negative_negative
depression,56362338,shape,negative,positive,0.3655153641756998,shape_negative_positive
depression,56362338,shape,positive,negative,0.2004553971309831,shape_positive_negative
depression,56362338,shape,positive,positive,0.2042202592002844,shape_positive_positive
depression,56365025,emotion,negative,negative,0.3384650194961853,emotion_negative_negative
depression,56365025,emotion,negative,positive,0.2300125824983683,emotion_negative_positive
depression,56365025,emotion,positive,negative,0.2005989608576222,emotion_positive_negative
depression,56365025,emotion,positive,positive,0.2001932100852653,emotion_positive_positive
depression,56365025,shape,negative,negative,0.374148555827882,shape_negative_negative
depression,56365025,shape,negative,positive,0.3965496871720897,shape_negative_positive
depression,56365025,shape,positive,negative,0.348206335777538,shape_positive_negative
depression,56365025,shape,positive,positive,0.2636821411085466,shape_positive_positive
depression,56367536,emotion,negative,negative,0.3405258364548922,emotion_negative_negative
depression,56367536,emotion,negative,positive,0.2012250934142798,emotion_negative_positive
depression,56367536,emotion,positive,negative,0.5153179126951134,emotion_positive_negative
depression,56367536,emotion,positive,positive,0.3435812627780042,emotion_positive_positive
depression,56367536,shape,negative,negative,0.3973748049329322,shape_negative_negative
depression,56367536,shape,negative,positive,0.3827345914836598,shape_negative_positive
depression,56367536,shape,positive,negative,0.2594749774222051,shape_positive_negative
depression,56367536,shape,positive,positive,0.3757544586843448,shape_positive_positive
normal,55763117,emotion,negative,negative,0.2969254365164618,emotion_negative_negative
normal,55763117,emotion,negative,positive,0.2470387959897847,emotion_negative_positive
normal,55763117,emotion,positive,negative,0.3242456014683548,emotion_positive_negative
normal,55763117,emotion,positive,positive,0.2000677613793394,emotion_positive_positive
normal,55763117,shape,negative,negative,0.4384128552963093,shape_negative_negative
normal,55763117,shape,negative,positive,0.4325109075964587,shape_negative_positive
normal,55763117,shape,positive,negative,0.4294275781698087,shape_positive_negative
normal,55763117,shape,positive,positive,0.2476765993158203,shape_positive_positive
normal,55766121,emotion,negative,negative,0.2432115213613384,emotion_negative_negative
normal,55766121,emotion,negative,positive,0.4651102210864499,emotion_negative_positive
normal,55766121,emotion,positive,negative,0.4063639690485766,emotion_positive_negative
normal,55766121,emotion,positive,positive,0.2022457477771687,emotion_positive_positive
normal,55766121,shape,negative,negative,0.2002180153508876,shape_negative_negative
normal,55766121,shape,negative,positive,0.5646760559599573,shape_negative_positive
normal,55766121,shape,positive,negative,0.3882062412928586,shape_positive_negative
normal,55766121,shape,positive,positive,0.5991939794011523,shape_positive_positive
normal,55768880,emotion,negative,negative,0.4488504064174654,emotion_negative_negative
normal,55768880,emotion,negative,positive,0.4900987893326767,emotion_negative_positive
normal,55768880,emotion,positive,negative,0.3958907995104609,emotion_positive_negative
normal,55768880,emotion,positive,positive,0.432189797030152,emotion_positive_positive
normal,55768880,shape,negative,negative,0.2616351896682356,shape_negative_negative
normal,55768880,shape,negative,positive,0.2001787480731466,shape_negative_positive
normal,55768880,shape,positive,negative,0.3874445430322576,shape_positive_negative
normal,55768880,shape,positive,positive,0.3779998127064128,shape_positive_positive
normal,55774247,emotion,negative,negative,0.3285497893431073,emotion_negative_negative
normal,55774247,emotion,negative,positive,0.2051897506443127,emotion_negative_positive
normal,55774247,emotion,positive,negative,0.2047269318732303,emotion_positive_negative
normal,55774247,emotion,positive,positive,0.2505270546135769,emotion_positive_positive
normal,55774247,shape,negative,negative,0.3643406424877596,shape_negative_negative
normal,55774247,shape,negative,positive,0.3863892917843383,shape_negative_positive
normal,55774247,shape,positive,negative,0.2473241268557187,shape_positive_negative
normal,55774247,shape,positive,positive,0.3662008124002288,shape_positive_positive
normal,55776021,emotion,negative,negative,0.3484798302781711,emotion_negative_negative
normal,55776021,emotion,negative,positive,0.3094974456289482,emotion_negative_positive
normal,55776021,emotion,positive,negative,0.4003871410891184,emotion_positive_negative
normal,55776021,emotion,positive,positive,0.2681331674223224,emotion_positive_positive
normal,55776021,shape,negative,negative,0.3473406633985247,shape_negative_negative
normal,55776021,shape,negative,positive,0.358197463603271,shape_negative_positive
normal,55776021,shape,positive,negative,0.2439111703244263,shape_positive_negative
normal,55776021,shape,positive,positive,0.3602383075142578,shape_positive_positive
normal,55777851,emotion,negative,negative,0.2006848241274085,emotion_negative_negative
normal,55777851,emotion,negative,positive,0.3475518542434779,emotion_negative_positive
normal,55777851,emotion,positive,negative,0.2008561237224678,emotion_positive_negative
normal,55777851,emotion,positive,positive,0.2960723137818499,emotion_positive_positive
normal,55777851,shape,negative,negative,0.3207114896428334,shape_negative_negative
normal,55777851,shape,negative,positive,0.3176146812170514,shape_negative_positive
normal,55777851,shape,positive,negative,0.2007693658585496,shape_positive_negative
normal,55777851,shape,positive,positive,0.2901858364862273,shape_positive_positive
normal,55779767,emotion,negative,negative,0.365819358541648,emotion_negative_negative
normal,55779767,emotion,negative,positive,0.3165441951484289,emotion_negative_positive
normal,55779767,emotion,positive,negative,0.494864161282157,emotion_positive_negative
normal,55779767,emotion,positive,positive,0.3679173525736691,emotion_positive_positive
normal,55779767,shape,negative,negative,0.2513780396909233,shape_negative_negative
normal,55779767,shape,negative,positive,0.3495025959062874,shape_negative_positive
normal,55779767,shape,positive,negative,0.3609166099240226,shape_positive_negative
normal,55779767,shape,positive,positive,0.2882748964399353,shape_positive_positive
normal,55781652,emotion,negative,negative,0.3417621050542043,emotion_negative_negative
normal,55781652,emotion,negative,positive,0.2490868757301193,emotion_negative_positive
normal,55781652,emotion,positive,negative,0.3408943937553721,emotion_positive_negative
normal,55781652,emotion,positive,positive,0.2855119808739075,emotion_positive_positive
normal,55781652,shape,negative,negative,0.3186689590512638,shape_negative_negative
normal,55781652,shape,negative,positive,0.2003761490010059,shape_negative_positive
normal,55781652,shape,positive,negative,0.2009162751647485,shape_positive_negative
normal,55781652,shape,positive,positive,0.4029822997378747,shape_positive_positive
normal,55850187,emotion,negative,negative,0.3622293272336186,emotion_negative_negative
normal,55850187,emotion,negative,positive,0.2005210545805568,emotion_negative_positive
normal,55850187,emotion,positive,negative,0.4267104206933672,emotion_positive_negative
normal,55850187,emotion,positive,positive,0.2400080651318051,emotion_positive_positive
normal,55850187,shape,negative,negative,0.3893708447961094,shape_negative_negative
normal,55850187,shape,negative,positive,0.2522402480598319,shape_negative_positive
normal,55850187,shape,positive,negative,0.375944680031354,shape_positive_negative
