group,subj_idx,induction,prime_valence,target_valence,x0,condition
depression,56189087,emotion,negative,negative,-0.6125261173842468,emotion_negative_negative
depression,56189087,emotion,negative,positive,0.4650554658339537,emotion_negative_positive
depression,56189087,emotion,positive,negative,-0.5917017308351943,emotion_positive_negative
depression,56189087,emotion,positive,positive,0.0384690832348562,emotion_positive_positive
depression,56189087,shape,negative,negative,-0.6610009259744228,shape_negative_negative
depression,56189087,shape,negative,positive,0.0034082909524558,shape_negative_positive
depression,56189087,shape,positive,negative,0.6203427984161201,shape_positive_negative
depression,56189087,shape,positive,positive,0.6218955565188339,shape_positive_positive
depression,56277415,emotion,negative,negative,0.2239474562951215,emotion_negative_negative
depression,56277415,emotion,negative,positive,-0.1795538848723455,emotion_negative_positive
depression,56277415,emotion,positive,negative,-0.1511454952348126,emotion_positive_negative
depression,56277415,emotion,positive,positive,-0.2876199540673754,emotion_positive_positive
depression,56277415,shape,negative,negative,0.5751048883323905,shape_negative_negative
depression,56277415,shape,negative,positive,-0.2978111493995513,shape_negative_positive
depression,56277415,shape,positive,negative,-0.3903721988490889,shape_positive_negative
depression,56277415,shape,positive,positive,0.2590946803452351,shape_positive_positive
depression,56279808,emotion,negative,negative,0.0302276652258687,emotion_negative_negative
depression,56279808,emotion,negative,positive,-0.556967223558088,emotion_negative_positive
depression,56279808,emotion,positive,negative,0.7336894937394346,emotion_positive_negative
depression,56279808,emotion,positive,positive,0.2593290317609817,emotion_positive_positive
depression,56279808,shape,negative,negative,0.0233932599417471,shape_negative_negative
depression,56279808,shape,negative,positive,-0.7139700106703863,shape_negative_positive
depression,56279808,shape,positive,negative,0.5645097540706503,shape_positive_negative
depression,56279808,shape,positive,positive,0.4642679581597009,shape_positive_positive
depression,56343776,emotion,negative,negative,0.2660355755027653,emotion_negative_negative
depression,56343776,emotion,negative,positive,-0.28111380374978,emotion_negative_positive
depression,56343776,emotion,positive,negative,-0.5266736706671276,emotion_positive_negative
depression,56343776,emotion,positive,positive,0.218558464613272,emotion_positive_positive
depression,56343776,shape,negative,negative,-0.8741784972503538,shape_negative_negative
depression,56343776,shape,negative,positive,-0.7510562387686172,shape_negative_positive
depression,56343776,shape,positive,negative,0.8302064681586586,shape_positive_negative
depression,56343776,shape,positive,positive,0.4844054131688107,shape_positive_positive
depression,56346638,emotion,negative,negative,0.1385059961997424,emotion_negative_negative
depression,56346638,emotion,negative,positive,0.1263823423369698,emotion_negative_positive
depression,56346638,emotion,positive,negative,-0.3213991166460446,emotion_positive_negative
depression,56346638,emotion,positive,positive,-0.1059382808317192,emotion_positive_positive
depression,56346638,shape,negative,negative,-0.2600029858150534,shape_negative_negative
depression,56346638,shape,negative,positive,0.5506196715682765,shape_negative_positive
depression,56346638,shape,positive,negative,-0.5551006344078113,shape_positive_negative
depression,56346638,shape,positive,positive,0.65028321604976,shape_positive_positive
depression,56352066,emotion,negative,negative,-0.5344307315897954,emotion_negative_negative
depression,56352066,emotion,negative,positive,0.239580319645772,emotion_negative_positive
depression,56352066,emotion,positive,negative,0.2584766116570973,emotion_positive_negative
depression,56352066,emotion,positive,positive,0.5101664332447342,emotion_positive_positive
depression,56352066,shape,negative,negative,-0.5017862679465166,shape_negative_negative
depression,56352066,shape,negative,positive,0.1880707579699435,shape_negative_positive
depression,56352066,shape,positive,negative,-0.2485287115496816,shape_positive_negative
depression,56352066,shape,positive,positive,-0.1397627623479722,shape_positive_positive
depression,56354957,emotion,negative,negative,0.0207226622636453,emotion_negative_negative
depression,56354957,emotion,negative,positive,0.1335585090606645,emotion_negative_positive
depression,56354957,emotion,positive,negative,-0.2902986319648796,emotion_positive_negative
depression,56354957,emotion,positive,positive,0.3316229947266333,emotion_positive_positive
depression,56354957,shape,negative,negative,-0.244690480183438,shape_negative_negative
depression,56354957,shape,negative,positive,-0.0022454171849571,shape_negative_positive
depression,56354957,shape,positive,negative,-0.2632379371114421,shape_positive_negative
depression,56354957,shape,positive,positive,0.0615552137759429,shape_positive_positive
depression,56358294,emotion,negative,negative,-0.6764437505615162,emotion_negative_negative
depression,56358294,emotion,negative,positive,0.129587408455987,emotion_negative_positive
depression,56358294,emotion,positive,negative,-0.2852780401429914,emotion_positive_negative
depression,56358294,emotion,positive,positive,0.421847683907974,emotion_positive_positive
depression,56358294,shape,negative,negative,0.0625743286873492,shape_negative_negative
depression,56358294,shape,negative,positive,0.5346547247752417,shape_negative_positive
depression,56358294,shape,positive,negative,-0.6933806727021412,shape_positive_negative
depression,56358294,shape,positive,positive,0.5003120795493227,shape_positive_positive
depression,56362338,emotion,negative,negative,-0.3040854015762883,emotion_negative_negative
depression,56362338,emotion,negative,positive,0.3090474029316715,emotion_negative_positive
depression,56362338,emotion,positive,negative,-0.7093000022174525,emotion_positive_negative
depression,56362338,emotion,positive,positive,0.5229821172970044,emotion_positive_positive
depression,56362338,shape,negative,negative,-0.6746608176502572,shape_negative_negative
depression,56362338,shape,negative,positive,0.5444216299859687,shape_negative_positive
depression,56362338,shape,positive,negative,-0.0559330716204167,shape_positive_negative
depression,56362338,shape,positive,positive,0.1989743764143588,shape_positive_positive
depression,56365025,emotion,negative,negative,-0.2119195358446882,emotion_negative_negative
depression,56365025,emotion,negative,positive,-0.0327128714232672,emotion_negative_positive
depression,56365025,emotion,positive,negative,-0.1404866486118593,emotion_positive_negative
depression,56365025,emotion,positive,positive,0.4113500002149776,emotion_positive_positive
depression,56365025,shape,negative,negative,-0.2356604812208982,shape_negative_negative
depression,56365025,shape,negative,positive,0.7668065426677045,shape_negative_positive
depression,56365025,shape,positive,negative,-0.4346656750387642,shape_positive_negative
depression,56365025,shape,positive,positive,0.0935647083480658,shape_positive_positive
depression,56367536,emotion,negative,negative,-0.2954942536386118,emotion_negative_negative
depression,56367536,emotion,negative,positive,-0.3593598899854918,emotion_negative_positive
depression,56367536,emotion,positive,negative,-0.7208523787176335,emotion_positive_negative
depression,56367536,emotion,positive,positive,-0.0383441700293561,emotion_positive_positive
depression,56367536,shape,negative,negative,-0.7192831113135556,shape_negative_negative
depression,56367536,shape,negative,positive,0.2522040115363592,shape_negative_positive
depression,56367536,shape,positive,negative,-0.3199571533801538,shape_positive_negative
depression,56367536,shape,positive,positive,0.6458370224006593,shape_positive_positive
normal,55763117,emotion,negative,negative,-0.0029081853890729,emotion_negative_negative
normal,55763117,emotion,negative,positive,-0.4094983379337612,emotion_negative_positive
normal,55763117,emotion,positive,negative,-0.250693389897162,emotion_positive_negative
normal,55763117,emotion,positive,positive,-0.4792840383952198,emotion_positive_positive
normal,55763117,shape,negative,negative,-0.6919785203661587,shape_negative_negative
normal,55763117,shape,negative,positive,-0.0913371470226928,shape_negative_positive
normal,55763117,shape,positive,negative,-0.5435521792797052,shape_positive_negative
